BrandID,BrandGUID,BrandDesc,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate,MBrandID,DeptID
211,39932BC6-2752-4A30-B7B5-88E9F7C9E2E6,BELTS DUMP,NULL,NULL,NULL,NULL,90174,23
212,ADB8B6A8-1DD3-44AE-9038-774A42F25B22,BELTS LADIES,NULL,NULL,NULL,NULL,11153,29
213,6633D80B-0480-4F47-9F78-E9F92B0E92F1,BENEFIT,NULL,NULL,NULL,NULL,11768,39
214,4C256053-F91D-41EF-85ED-29B6402749FE,BENT & CORRUPT,NULL,NULL,NULL,NULL,10402,12
215,69930A8D-7A01-45E7-9672-9C9216EC8F83,BENT & CORRUPT,NULL,NULL,NULL,NULL,10722,18
216,A06EA027-5C80-42B8-ABC2-680C36073807,BERNHARD WILLHELM,NULL,NULL,NULL,NULL,10738,18
217,CDBC5BED-02A3-4340-A5A0-AA573BB28C27,BERYLL EYEWEAR,NULL,NULL,NULL,NULL,11741,38
218,AEEBFB0F-6433-47C4-9574-CD55EDEA79E0,BETH FRANK,NULL,NULL,NULL,NULL,10892,23
219,47FB3136-C0A1-4E4A-A221-2374B5758E6D,BETTY JACKSON,NULL,NULL,NULL,NULL,10190,8
220,F07F380F-49CB-4780-84DA-903EE217C8D4,BETTY JACKSON 2,NULL,NULL,NULL,NULL,10215,8
221,EDD46010-F16B-48AB-9E64-EFF37AFC09AC,BEYOND BEAUTY DUMP,NULL,NULL,NULL,NULL,90218,40
222,F6A9BE51-F467-4F4D-96BF-D83E0410085E,BEYOND BEAUTY EVENT,NULL,NULL,NULL,NULL,11866,40
223,BD3D6C5C-602E-4A42-9E20-D15E2F2C239A,BI LA LI,NULL,NULL,NULL,NULL,10309,9
224,B114865A-434F-4875-BE91-ECDE172E76AE,BIBA,NULL,NULL,NULL,NULL,12927,28
225,ACA1FF07-5C61-46CF-A9F8-A1D4ACD2D6F0,BIELLA SOCKS,NULL,NULL,NULL,NULL,12385,35
